subject,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
s033,0.1002,0.3522,0.252,0.1681,0.1554,-0.0127,0.1638,0.1886,0.0248,0.1696,0.3152,0.1456,0.0884,0.5621,0.4737,0.1303,0.3173,0.187,0.134,0.2206,0.0866,0.1934,0.1607,-0.0327,0.1056,0.4687,0.3631,0.1179,0.4015,0.2836,0.0921
s038,0.0699,0.4546,0.3847,0.0863,0.1251,0.0388,0.0604,0.1163,0.0559,0.0573,0.2862,0.2289,0.0799,1.1846,1.1047,0.0501,0.3001,0.25,0.0741,0.1354,0.0613,0.0778,0.123,0.0452,0.0559,0.1551,0.0992,0.1018,0.3245,0.2227,0.0691
s042,0.0971,0.2753,0.1782,0.053,0.1598,0.1068,0.0457,0.1388,0.0931,0.066,0.2725,0.2065,0.0388,0.276,0.2372,0.0557,0.1417,0.086,0.0815,0.1148,0.0333,0.0726,0.2095,0.1369,0.0874,0.0562,-0.0312,0.1143,0.2764,0.1621,0.1024
s033,0.0892,0.3281,0.2389,0.1694,0.1459,-0.0235,0.1622,0.3682,0.206,0.1314,0.3165,0.1851,0.0757,0.4371,0.3614,0.1913,0.2375,0.0462,0.1308,0.2854,0.1546,0.1976,0.1404,-0.0572,0.2121,0.2975,0.0854,0.1635,0.348,0.1845,0.1205
s041,0.1619,0.3599,0.198,0.1219,0.2931,0.1712,0.1406,0.1395,-0.0011,0.1396,0.244,0.1044,0.0876,0.425,0.3374,0.1482,0.1807,0.0325,0.1577,0.1451,-0.0126,0.1667,0.0963,-0.0704,0.144,0.1638,0.0198,0.163,0.2462,0.0832,0.1137
s030,0.0871,0.3058,0.2187,0.1354,0.2033,0.0679,0.0916,0.2579,0.1663,0.1665,0.3723,0.2058,0.0747,0.516,0.4413,0.1016,0.3985,0.2969,0.1288,0.2447,0.1159,0.1077,0.2141,0.1064,0.085,0.2621,0.1771,0.0512,0.2804,0.2292,0.0916
s056,0.091,0.2874,0.1964,0.0831,0.1804,0.0973,0.0878,0.0913,0.0035,0.0786,0.3974,0.3188,0.0776,0.3738,0.2962,0.0921,0.1723,0.0802,0.0942,0.0919,-0.0023,0.0976,0.5552,0.4576,0.0675,0.1846,0.1171,0.0826,0.2465,0.1639,0.1053
s018,0.0908,0.1345,0.0437,0.0969,0.1252,0.0283,0.0755,0.3621,0.2866,0.1217,0.3302,0.2085,0.1095,0.4318,0.3223,0.1088,0.2136,0.1048,0.0869,0.1203,0.0334,0.0937,0.1165,0.0228,0.1233,0.7764,0.6531,0.0958,0.3303,0.2345,0.071
s022,0.0536,0.7299,0.6763,0.0599,0.3352,0.2753,0.0433,0.2771,0.2338,0.0766,0.4352,0.3586,0.0597,0.5279,0.4682,0.0502,0.3796,0.3294,0.0499,0.2112,0.1613,0.0987,0.2067,0.108,0.0467,0.3016,0.2549,0.0539,0.3143,0.2604,0.0541
s030,0.0816,0.4605,0.3789,0.0739,0.142,0.0681,0.0789,0.1671,0.0882,0.0694,0.7581,0.6887,0.0647,0.434,0.3693,0.0636,2.8114,2.7478,0.0805,0.1632,0.0827,0.1059,0.1342,0.0283,0.065,0.1925,0.1275,0.057,0.2551,0.1981,0.0694
s020,0.1127,0.157,0.0443,0.0882,0.0948,0.0066,0.1106,0.1056,-0.005,0.0634,0.2038,0.1404,0.07,0.2588,0.1888,0.1132,0.1304,0.0172,0.0895,0.1223,0.0328,0.1196,0.0798,-0.0398,0.1151,0.0789,-0.0362,0.1544,0.6245,0.4701,0.09
s038,0.0823,0.2998,0.2175,0.1263,0.1772,0.0509,0.0715,0.1024,0.0309,0.0707,0.313,0.2423,0.0902,0.5191,0.4289,0.0989,0.3733,0.2744,0.0871,0.1183,0.0312,0.1359,0.1272,-0.0087,0.067,0.1524,0.0854,0.1002,0.3021,0.2019,0.0762
s040,0.0963,0.6632,0.5669,0.1111,0.1304,0.0193,0.1068,0.1195,0.0127,0.1219,0.3471,0.2252,0.1232,0.3559,0.2327,0.1018,0.2899,0.1881,0.1095,0.1141,0.0046,0.1517,0.3068,0.1551,0.0894,0.1284,0.039,0.1253,0.3908,0.2655,0.1424
s048,0.0863,0.173,0.0867,0.0966,0.0802,-0.0164,0.0652,0.1138,0.0486,0.1211,0.2622,0.1411,0.0868,0.3865,0.2997,0.0747,0.1684,0.0937,0.0707,0.1502,0.0795,0.0963,0.1341,0.0378,0.0794,0.1851,0.1057,0.0905,0.2054,0.1149,0.096
s028,0.0705,0.2127,0.1422,0.0528,0.1125,0.0597,0.0605,0.0661,0.0056,0.0731,0.6436,0.5705,0.0623,0.4543,0.392,0.0626,0.592,0.5294,0.0589,0.0878,0.0289,0.0639,0.2001,0.1362,0.0639,0.2323,0.1684,0.0679,0.2362,0.1683,0.0491
s052,0.052,0.5902,0.5382,0.0668,0.0362,-0.0306,0.1174,0.1343,0.0169,0.0736,0.4808,0.4072,0.0575,0.4862,0.4287,0.0623,0.2511,0.1888,0.066,0.1051,0.0391,0.0755,0.3451,0.2696,0.0557,0.0124,-0.0433,0.119,0.7077,0.5887,0.0855
s035,0.0462,0.2086,0.1624,0.072,0.1627,0.0907,0.0662,0.119,0.0528,0.0673,0.2888,0.2215,0.0686,0.3527,0.2841,0.0982,0.1336,0.0354,0.0865,0.1678,0.0813,0.0663,0.0333,-0.033,0.1359,0.219,0.0831,0.071,0.5113,0.4403,0.0805
s004,0.0774,0.1655,0.0881,0.1122,0.1782,0.066,0.1032,0.1167,0.0135,0.0721,0.4262,0.3541,0.0826,0.3217,0.2391,0.1277,0.162,0.0343,0.0937,0.0972,0.0035,0.1294,0.0988,-0.0306,0.0898,0.1362,0.0464,0.1016,0.2356,0.134,0.0784
s034,0.1005,0.1585,0.058,0.0818,0.0998,0.018,0.0501,0.0915,0.0414,0.0665,0.3938,0.3273,0.1031,0.4481,0.345,0.1037,0.1145,0.0108,0.0778,0.0982,0.0204,0.0952,0.0802,-0.015,0.0786,0.1229,0.0443,0.0955,0.2534,0.1579,0.0834
s025,0.1127,0.1221,0.0094,0.0715,0.161,0.0895,0.0686,0.0932,0.0246,0.0874,0.4399,0.3525,0.0795,0.3311,0.2516,0.0903,0.1671,0.0768,0.0792,0.0864,0.0072,0.0847,0.1217,0.037,0.0863,0.1557,0.0694,0.1059,0.5177,0.4118,0.1064
s020,0.0964,0.1153,0.0189,0.0871,0.1254,0.0383,0.1265,0.07,-0.0565,0.0824,0.2742,0.1918,0.0755,0.2949,0.2194,0.0914,0.0938,0.0024,0.1024,0.1186,0.0162,0.1444,0.0689,-0.0755,0.1051,0.0652,-0.0399,0.117,0.1327,0.0157,0.1154
s020,0.1085,0.147,0.0385,0.0863,0.1045,0.0182,0.1006,0.0966,-0.004,0.0943,0.2653,0.171,0.0388,0.4115,0.3727,0.0755,0.09,0.0145,0.0715,0.1165,0.045,0.1368,0.046,-0.0908,0.112,0.0839,-0.0281,0.144,0.1417,-0.0023,0.1204
s024,0.0715,0.1195,0.048,0.0565,0.1407,0.0842,0.0433,0.0734,0.0301,0.0642,0.4109,0.3467,0.0446,0.5292,0.4846,0.051,0.4202,0.3692,0.0349,0.1239,0.089,0.0816,0.112,0.0304,0.0618,0.3056,0.2438,0.0689,0.2591,0.1902,0.0679
s057,0.0615,0.3402,0.2787,0.077,0.0826,0.0056,0.0818,0.0871,0.0053,0.0625,0.1501,0.0876,0.076,0.305,0.229,0.0623,0.1908,0.1285,0.076,0.0943,0.0183,0.0744,0.0977,0.0233,0.053,0.1221,0.0691,0.0905,0.1935,0.103,0.0952
s055,0.0917,0.0802,-0.0115,0.1285,0.1367,0.0082,0.0976,0.0649,-0.0327,0.1327,0.0941,-0.0386,0.089,0.2061,0.1171,0.1021,0.0744,-0.0277,0.0834,0.0962,0.0128,0.0913,0.0415,-0.0498,0.0551,0.1627,0.1076,0.1058,0.1334,0.0276,0.1369
s043,0.061,0.5211,0.4601,0.0723,0.2023,0.13,0.0644,0.326,0.2616,0.0649,0.4022,0.3373,0.0588,0.4497,0.3909,0.052,0.5789,0.5269,0.0662,0.2319,0.1657,0.0834,0.3938,0.3104,0.0752,0.5464,0.4712,0.0615,0.2937,0.2322,0.0536
s051,0.1174,0.187,0.0696,0.0964,0.0813,-0.0151,0.1043,0.0887,-0.0156,0.1673,0.1266,-0.0407,0.0745,0.2755,0.201,0.1082,0.1301,0.0219,0.0689,0.1167,0.0478,0.084,0.0713,-0.0127,0.1075,0.0874,-0.0201,0.075,0.1717,0.0967,0.0583
s036,0.0333,0.4852,0.4519,0.0499,0.1027,0.0528,0.0375,0.4399,0.4024,0.0541,0.3529,0.2988,0.0356,0.5623,0.5267,0.0251,0.5752,0.5501,0.0438,0.1987,0.1549,0.0573,0.3691,0.3118,0.037,0.5117,0.4747,0.0385,0.4719,0.4334,0.0499
s048,0.0905,0.1666,0.0761,0.0881,0.1024,0.0143,0.0741,0.1039,0.0298,0.0995,0.4349,0.3354,0.0757,0.4558,0.3801,0.0865,0.1718,0.0853,0.0604,0.1887,0.1283,0.1026,0.114,0.0114,0.0768,0.1894,0.1126,0.0876,0.4904,0.4028,0.119
s033,0.0744,0.2927,0.2183,0.1717,0.1176,-0.0541,0.1369,0.2443,0.1074,0.1126,0.7423,0.6297,0.0697,0.9413,0.8716,0.1238,0.2836,0.1598,0.0992,0.2575,0.1583,0.1865,0.1773,-0.0092,0.0821,0.2751,0.193,0.0987,0.2861,0.1874,0.0768
s056,0.086,0.1239,0.0379,0.0554,0.1243,0.0689,0.0729,0.061,-0.0119,0.0644,0.2208,0.1564,0.1103,0.2702,0.1599,0.095,0.1721,0.0771,0.0995,0.2146,0.1151,0.1446,0.1201,-0.0245,0.066,0.1794,0.1134,0.0794,0.1199,0.0405,0.1345
s029,0.0803,0.1335,0.0532,0.0729,0.1291,0.0562,0.0423,0.0256,-0.0167,0.0885,0.2344,0.1459,0.0689,0.3592,0.2903,0.1051,0.2197,0.1146,0.1056,0.0972,-0.0084,0.1067,0.1347,0.028,0.1117,0.0881,-0.0236,0.0993,0.2322,0.1329,0.0837
s010,0.0845,0.1143,0.0298,0.0634,0.151,0.0876,0.0908,0.1415,0.0507,0.0713,0.2125,0.1412,0.0605,0.1981,0.1376,0.0618,0.1291,0.0673,0.0853,0.149,0.0637,0.0686,0.1631,0.0945,0.0895,0.2262,0.1367,0.0929,0.4646,0.3717,0.071
s050,0.0789,0.2851,0.2062,0.0915,0.1738,0.0823,0.0757,0.1527,0.077,0.0818,0.2134,0.1316,0.0604,0.3144,0.254,0.1198,0.1153,-0.0045,0.0926,0.1557,0.0631,0.1255,0.0881,-0.0374,0.0907,0.202,0.1113,0.0828,0.2401,0.1573,0.0736
s002,0.0607,0.1102,0.0495,0.0768,0.1512,0.0744,0.061,0.0909,0.0299,0.0671,0.3312,0.2641,0.0755,0.3199,0.2444,0.1099,0.1416,0.0317,0.0781,0.1589,0.0808,0.0847,0.0383,-0.0464,0.0755,0.1766,0.1011,0.0671,0.1733,0.1062,0.0713
s025,0.0995,0.1395,0.04,0.0705,0.1777,0.1072,0.0639,0.0951,0.0312,0.0816,0.5046,0.423,0.0776,0.3973,0.3197,0.0959,0.1896,0.0937,0.0734,0.1189,0.0455,0.0739,0.1125,0.0386,0.0842,0.1766,0.0924,0.1014,0.4921,0.3907,0.0903
s012,0.1927,0.1958,0.0031,0.1407,0.1571,0.0164,0.1528,0.1037,-0.0491,0.1217,0.1761,0.0544,0.118,0.3197,0.2017,0.1629,0.1785,0.0156,0.1249,0.1451,0.0202,0.1495,0.1017,-0.0478,0.149,0.0948,-0.0542,0.1418,0.2209,0.0791,0.1468
s038,0.0712,0.3451,0.2739,0.0778,0.1227,0.0449,0.0541,0.6335,0.5794,0.0791,0.3824,0.3033,0.0554,0.4782,0.4228,0.0844,0.3956,0.3112,0.1045,0.1244,0.0199,0.1113,0.1375,0.0262,0.0662,0.1522,0.086,0.096,0.2908,0.1948,0.0607
s035,0.0483,0.361,0.3127,0.0573,0.1267,0.0694,0.0639,0.1267,0.0628,0.066,0.2564,0.1904,0.061,0.3672,0.3062,0.105,0.1849,0.0799,0.0465,0.0452,-0.0013,0.0705,0.1813,0.1108,0.0557,0.1351,0.0794,0.0615,0.2605,0.199,0.0491
s002,0.1172,0.1929,0.0757,0.0737,0.1107,0.037,0.0803,0.1387,0.0584,0.0816,0.527,0.4454,0.085,0.4326,0.3476,0.1051,0.1898,0.0847,0.0895,0.1305,0.041,0.1098,0.1455,0.0357,0.0657,0.1599,0.0942,0.0874,0.196,0.1086,0.0834
s029,0.0813,0.3105,0.2292,0.0681,0.171,0.1029,0.0518,0.1049,0.0531,0.0657,0.2137,0.148,0.0613,0.2931,0.2318,0.0716,0.1709,0.0993,0.0987,0.1212,0.0225,0.085,0.1202,0.0352,0.122,0.0932,-0.0288,0.1072,0.2324,0.1252,0.0655
s053,0.1398,0.2149,0.0751,0.0624,0.061,-0.0014,0.1106,0.0982,-0.0124,0.0599,0.2192,0.1593,0.0694,0.3448,0.2754,0.0681,0.1918,0.1237,0.0654,0.089,0.0236,0.1031,0.105,0.0019,0.1095,0.0701,-0.0394,0.0982,0.2231,0.1249,0.0886
s021,0.1502,0.3641,0.2139,0.0882,0.1719,0.0837,0.0937,0.1415,0.0478,0.0668,0.2911,0.2243,0.0813,0.2759,0.1946,0.0673,0.2048,0.1375,0.1008,0.1109,0.0101,0.0784,0.1843,0.1059,0.1027,0.2328,0.1301,0.1154,0.3441,0.2287,0.0871
s037,0.0873,0.5221,0.4348,0.0884,0.113,0.0246,0.0591,0.1264,0.0673,0.0834,1.0451,0.9617,0.0654,0.3946,0.3292,0.0863,1.6994,1.6131,0.0784,0.1671,0.0887,0.1308,0.5367,0.4059,0.0878,0.1909,0.1031,0.1187,0.2634,0.1447,0.066
s011,0.108,0.1665,0.0585,0.1043,0.1516,0.0473,0.1074,0.1446,0.0372,0.1114,0.5832,0.4718,0.1175,0.3849,0.2674,0.1346,0.2172,0.0826,0.0847,0.103,0.0183,0.1587,0.1529,-0.0058,0.0842,0.1518,0.0676,0.0982,0.2762,0.178,0.0467
s016,0.0916,0.3852,0.2936,0.0694,0.3151,0.2457,0.0486,0.3038,0.2552,0.1011,0.8117,0.7106,0.0774,1.0224,0.945,0.103,0.5735,0.4705,0.0726,0.5983,0.5257,0.1317,0.2904,0.1587,0.0642,0.34,0.2758,0.0853,0.6201,0.5348,0.09
s003,0.1505,0.1044,-0.0461,0.1303,0.1255,-0.0048,0.1447,0.1035,-0.0412,0.1093,0.1278,0.0185,0.0642,0.2854,0.2212,0.1241,0.1753,0.0512,0.1117,0.0975,-0.0142,0.1228,0.0587,-0.0641,0.1423,0.1713,0.029,0.0953,0.2142,0.1189,0.1056
s016,0.1117,1.1218,1.0101,0.0539,0.3595,0.3056,0.0966,0.3241,0.2275,0.0845,0.6642,0.5797,0.0697,0.6688,0.5991,0.0938,0.2068,0.113,0.1056,0.2672,0.1616,0.113,0.255,0.142,0.0911,0.2639,0.1728,0.1059,0.2998,0.1939,0.1053
s038,0.076,0.2357,0.1597,0.0847,0.09,0.0053,0.0683,0.1675,0.0992,0.067,0.2788,0.2118,0.0665,0.5666,0.5001,0.0755,0.3475,0.272,0.0786,0.1212,0.0426,0.114,0.1887,0.0747,0.0565,0.1989,0.1424,0.0762,0.5821,0.5059,0.0644
s048,0.1024,0.1691,0.0667,0.091,0.1066,0.0156,0.0844,0.0876,0.0032,0.101,1.6366,1.5356,0.0871,0.5358,0.4487,0.0992,0.2113,0.1121,0.0781,0.1067,0.0286,0.1037,0.1061,0.0024,0.101,0.1081,0.0071,0.1058,0.2159,0.1101,0.1002
s028,0.0547,0.1512,0.0965,0.0407,0.0917,0.051,0.0531,0.0605,0.0074,0.0634,0.5141,0.4507,0.056,0.4184,0.3624,0.0602,0.1925,0.1323,0.0562,0.0806,0.0244,0.0602,0.1487,0.0885,0.0581,0.2304,0.1723,0.0544,0.5367,0.4823,0.0494
s056,0.1031,0.1426,0.0395,0.0942,0.0974,0.0032,0.1134,0.0857,-0.0277,0.1039,0.1685,0.0646,0.1042,0.2676,0.1634,0.1401,0.2324,0.0923,0.1274,0.1407,0.0133,0.1217,0.1106,-0.0111,0.0858,0.1657,0.0799,0.1232,0.1051,-0.0181,0.1288
s033,0.1501,0.5393,0.3892,0.1778,0.1902,0.0124,0.1219,1.4407,1.3188,0.1403,0.4356,0.2953,0.09,0.5592,0.4692,0.1862,0.346,0.1598,0.1422,0.2354,0.0932,0.3471,0.2147,-0.1324,0.1224,0.6031,0.4807,0.1082,0.5464,0.4382,0.1158
s031,0.0937,0.239,0.1453,0.0826,0.1338,0.0512,0.0739,0.1325,0.0586,0.0613,1.4794,1.4181,0.0623,0.4495,0.3872,0.1014,0.3051,0.2037,0.0813,0.1619,0.0806,0.1008,0.16,0.0592,0.0919,0.3911,0.2992,0.0747,0.5063,0.4316,0.0715
s016,0.1066,0.4976,0.391,0.0409,0.1655,0.1246,0.0681,0.9271,0.859,0.0839,0.8106,0.7267,0.0652,0.8659,0.8007,0.1238,0.2624,0.1386,0.1143,0.293,0.1787,0.1296,0.2537,0.1241,0.1267,0.2441,0.1174,0.1365,0.5573,0.4208,0.1206
s019,0.0847,0.2733,0.1886,0.0774,0.2672,0.1898,0.0562,0.0776,0.0214,0.0924,0.2956,0.2032,0.0589,0.3897,0.3308,0.0983,0.2432,0.1449,0.0824,0.0849,0.0025,0.1059,0.1701,0.0642,0.0903,0.2441,0.1538,0.08,0.4375,0.3575,0.1053
s013,0.071,0.1055,0.0345,0.0694,0.1066,0.0372,0.0692,0.0533,-0.0159,0.0505,0.1524,0.1019,0.076,0.2458,0.1698,0.0813,0.1238,0.0425,0.0723,0.0824,0.0101,0.1014,0.099,-0.0024,0.0423,0.1162,0.0739,0.0613,0.1792,0.1179,0.0708
s022,0.0475,0.8446,0.7971,0.0489,0.3352,0.2863,0.043,0.213,0.17,0.1359,1.1975,1.0616,0.056,0.8623,0.8063,0.0549,0.4006,0.3457,0.0462,0.2184,0.1722,0.1172,0.179,0.0618,0.0502,0.3394,0.2892,0.0581,1.0064,0.9483,0.0744
s041,0.1619,0.3601,0.1982,0.143,0.1531,0.0101,0.1557,0.1232,-0.0325,0.1322,0.2337,0.1015,0.0857,0.4328,0.3471,0.1907,0.2756,0.0849,0.1221,0.1591,0.037,0.1936,0.1261,-0.0675,0.1704,0.1825,0.0121,0.2176,0.2718,0.0542,0.1345
s048,0.0952,0.1479,0.0527,0.0913,0.0834,-0.0079,0.0752,0.0966,0.0214,0.1277,0.2683,0.1406,0.0884,0.4226,0.3342,0.0765,0.1539,0.0774,0.0966,0.1386,0.042,0.1082,0.1061,-0.0021,0.0858,0.1414,0.0556,0.0842,0.2194,0.1352,0.0989
s008,0.1093,0.2554,0.1461,0.1035,0.1312,0.0277,0.0715,0.1188,0.0473,0.1082,0.3169,0.2087,0.1146,0.409,0.2944,0.103,0.1157,0.0127,0.085,0.0914,0.0064,0.1378,0.1532,0.0154,0.0697,0.7355,0.6658,0.0552,0.1622,0.107,0.1074
s033,0.0823,0.8955,0.8132,0.1198,0.138,0.0182,0.1024,1.2749,1.1725,0.1416,0.9253,0.7837,0.0633,1.3051,1.2418,0.138,1.6069,1.4689,0.1084,0.374,0.2656,0.1902,0.72,0.5298,0.0691,0.3088,0.2397,0.1211,0.4369,0.3158,0.1306
s028,0.081,0.1466,0.0656,0.0367,0.1032,0.0665,0.0494,0.0584,0.009,0.0544,0.5054,0.451,0.0504,0.4432,0.3928,0.0644,0.2003,0.1359,0.0539,0.0572,0.0033,0.0665,0.1059,0.0394,0.0602,0.5376,0.4774,0.0441,0.319,0.2749,0.0507
s049,0.1034,0.2856,0.1822,0.1266,0.216,0.0894,0.062,0.1691,0.1071,0.1216,0.3903,0.2687,0.0628,1.9401,1.8773,0.1277,1.1818,1.0541,0.1353,0.4244,0.2891,0.1672,0.3666,0.1994,0.1031,0.6927,0.5896,0.0749,0.8129,0.738,0.0828
s029,0.1014,0.3407,0.2393,0.0668,0.1558,0.089,0.0531,0.1157,0.0626,0.0937,0.2177,0.124,0.0826,0.2653,0.1827,0.0829,0.1341,0.0512,0.0808,0.1165,0.0357,0.0715,0.0758,0.0043,0.117,0.0813,-0.0357,0.0843,0.2008,0.1165,0.0768
s018,0.1219,0.1371,0.0152,0.0971,0.1235,0.0264,0.0861,0.0663,-0.0198,0.0737,0.2027,0.129,0.094,0.3891,0.2951,0.1154,0.1363,0.0209,0.1117,0.2097,0.098,0.108,0.0684,-0.0396,0.151,0.0673,-0.0837,0.1138,0.657,0.5432,0.0879
s016,0.0884,0.5834,0.495,0.0842,0.2608,0.1766,0.0824,1.6723,1.5899,0.0932,1.0432,0.95,0.066,0.6902,0.6242,0.0912,0.2504,0.1592,0.075,0.3469,0.2719,0.0726,2.0394,1.9668,0.0863,0.5275,0.4412,0.0861,1.3059,1.2198,0.0528
s005,0.1175,0.5001,0.3826,0.0876,0.1686,0.081,0.0694,0.2602,0.1908,0.0829,0.583,0.5001,0.1151,0.4044,0.2893,0.0938,0.2527,0.1589,0.1066,0.1737,0.0671,0.1093,0.1244,0.0151,0.0958,0.214,0.1182,0.0874,0.3446,0.2572,0.0784
s048,0.0844,0.1872,0.1028,0.0863,0.0718,-0.0145,0.0784,0.1264,0.048,0.0981,0.2247,0.1266,0.0989,0.441,0.3421,0.0802,0.1201,0.0399,0.0918,0.1251,0.0333,0.095,0.0961,0.0011,0.1013,0.1285,0.0272,0.1053,0.443,0.3377,0.0968
s046,0.0886,0.318,0.2294,0.0733,0.1292,0.0559,0.0551,0.148,0.0929,0.0881,0.2089,0.1208,0.0844,0.4371,0.3527,0.0869,0.15,0.0631,0.0639,0.0809,0.017,0.1024,0.2211,0.1187,0.1002,0.7078,0.6076,0.0636,0.2259,0.1623,0.0884
s034,0.0691,0.0851,0.016,0.0799,0.1374,0.0575,0.053,0.1008,0.0478,0.076,1.7289,1.6529,0.0834,0.3277,0.2443,0.1259,0.1716,0.0457,0.1153,0.0742,-0.0411,0.1,0.09,-0.01,0.1229,0.0994,-0.0235,0.0871,0.212,0.1249,0.066
s038,0.0741,0.2549,0.1808,0.1008,0.0992,-0.0016,0.0699,0.1011,0.0312,0.0813,0.2498,0.1685,0.0773,0.3986,0.3213,0.0923,0.3426,0.2503,0.0918,0.122,0.0302,0.1327,0.1502,0.0175,0.0602,0.1694,0.1092,0.0921,0.3541,0.262,0.0826
s013,0.0874,0.0887,0.0013,0.0671,0.1212,0.0541,0.0948,0.0776,-0.0172,0.0618,0.1716,0.1098,0.0607,0.2735,0.2128,0.0713,0.0998,0.0285,0.0776,0.0788,0.0012,0.1043,0.0729,-0.0314,0.0639,0.1172,0.0533,0.0684,0.1805,0.1121,0.0734
s010,0.1177,0.1839,0.0662,0.0602,0.2022,0.142,0.0763,0.1434,0.0671,0.066,0.2763,0.2103,0.0581,0.253,0.1949,0.047,0.1349,0.0879,0.0774,0.1055,0.0281,0.0639,0.1112,0.0473,0.0789,0.2064,0.1275,0.0784,0.1757,0.0973,0.0623
s050,0.0681,0.1772,0.1091,0.0538,0.109,0.0552,0.0649,0.0786,0.0137,0.0834,0.2192,0.1358,0.0583,0.2511,0.1928,0.1301,0.1452,0.0151,0.0662,0.1335,0.0673,0.1264,0.1111,-0.0153,0.0779,0.1908,0.1129,0.0694,0.5801,0.5107,0.0488
s030,0.1465,0.1723,0.0258,0.1064,0.1616,0.0552,0.108,0.2218,0.1138,0.1351,0.3715,0.2364,0.0916,0.3648,0.2732,0.0888,0.1973,0.1085,0.1019,0.1001,-0.0018,0.0811,0.1859,0.1048,0.0879,0.2022,0.1143,0.085,0.2818,0.1968,0.0845
s016,0.1048,0.3823,0.2775,0.065,0.2052,0.1402,0.1048,0.2954,0.1906,0.1029,0.3536,0.2507,0.0591,0.8651,0.806,0.1235,0.2515,0.128,0.1117,0.3015,0.1898,0.1219,0.2763,0.1544,0.0966,0.2942,0.1976,0.0948,0.3177,0.2229,0.0942
s027,0.0953,0.1736,0.0783,0.0958,0.1924,0.0966,0.1396,0.1219,-0.0177,0.0919,0.6418,0.5499,0.0657,0.4324,0.3667,0.0676,0.2262,0.1586,0.1283,0.0713,-0.057,0.1062,0.3308,0.2246,0.1016,0.2362,0.1346,0.0971,0.2817,0.1846,0.0937
s055,0.0979,0.101,0.0031,0.1042,0.143,0.0388,0.0784,0.0739,-0.0045,0.0892,0.1762,0.087,0.0976,0.2675,0.1699,0.1175,0.1161,-0.0014,0.0658,0.1028,0.037,0.0852,0.0768,-0.0084,0.0654,0.1777,0.1123,0.0971,0.2254,0.1283,0.066
s004,0.0845,0.1544,0.0699,0.1008,0.1855,0.0847,0.1006,0.0995,-0.0011,0.0866,0.4919,0.4053,0.1119,0.7169,0.605,0.1375,0.2093,0.0718,0.0929,0.1547,0.0618,0.1544,0.1911,0.0367,0.1074,0.2306,0.1232,0.1043,0.2441,0.1398,0.0887
s030,0.1317,0.2535,0.1218,0.1114,0.1924,0.081,0.1193,0.2288,0.1095,0.1647,0.3956,0.2309,0.07,0.4266,0.3566,0.0842,1.1784,1.0942,0.1383,0.206,0.0677,0.099,0.1619,0.0629,0.1161,0.3306,0.2145,0.0845,1.2162,1.1317,0.075
s022,0.0795,0.6444,0.5649,0.0581,0.4244,0.3663,0.057,0.3162,0.2592,0.08,0.494,0.414,0.0591,2.1322,2.0731,0.0731,0.4964,0.4233,0.0671,0.5533,0.4862,0.0871,0.2159,0.1288,0.0602,0.5059,0.4457,0.0591,1.0042,0.9451,0.0824
s005,0.0874,0.1631,0.0757,0.1304,0.2283,0.0979,0.0758,0.1376,0.0618,0.1578,0.4908,0.333,0.1241,0.4759,0.3518,0.1215,0.283,0.1615,0.0919,0.1411,0.0492,0.1515,0.2619,0.1104,0.0167,0.2698,0.2531,0.1045,0.4187,0.3142,0.0956
s021,0.1156,0.1353,0.0197,0.0977,0.1679,0.0702,0.1022,0.1513,0.0491,0.0847,0.224,0.1393,0.1254,0.3124,0.187,0.1132,0.213,0.0998,0.0737,0.1073,0.0336,0.0792,0.1178,0.0386,0.0934,0.1546,0.0612,0.1196,0.272,0.1524,0.0813
s039,0.0878,0.5967,0.5089,0.0921,0.1433,0.0512,0.0849,0.1772,0.0923,0.0799,0.2347,0.1548,0.0852,0.4349,0.3497,0.1311,0.1385,0.0074,0.0918,0.1333,0.0415,0.0921,0.0908,-0.0013,0.0726,1.8716,1.799,0.0678,0.1874,0.1196,0.082
s038,0.1132,0.2218,0.1086,0.0762,0.1018,0.0256,0.0649,0.1169,0.052,0.0855,0.2237,0.1382,0.0623,0.4431,0.3808,0.0992,0.3553,0.2561,0.0989,0.1243,0.0254,0.1517,0.1372,-0.0145,0.066,0.1551,0.0891,0.1079,1.2586,1.1507,0.0789
s046,0.0926,0.2932,0.2006,0.0915,0.1664,0.0749,0.0551,0.1559,0.1008,0.0665,0.2279,0.1614,0.0636,0.4218,0.3582,0.1045,0.186,0.0815,0.1097,0.379,0.2693,0.1092,0.119,0.0098,0.1097,0.2226,0.1129,0.1039,0.9305,0.8266,0.0929
s007,0.0861,0.1449,0.0588,0.065,0.0972,0.0322,0.0839,0.0913,0.0074,0.0919,0.2112,0.1193,0.0644,0.2705,0.2061,0.0913,0.1803,0.089,0.1019,0.1313,0.0294,0.0961,0.107,0.0109,0.1378,0.1042,-0.0336,0.0975,0.2072,0.1097,0.0705
